"rle", "population", "period", "dx", "dy", "speed", "type", "count", "probability"
"bobo$2b2o$3b2o", 6, 2188, 2, 0, 0.0009140767824497258, "orthogonal", 1231, 0.000011322618316210579
"3o$o$bo", 5, 15, 1, 1, 0.06666666666666667, "diagonal", 1071399, 0.009854623835393744
"5bobo$b2obobo", 6, 622, 6, 0, 0.00964630225080386, "orthogonal", 6691, 0.0000615431674685337
"b2o2$2bo$b2o3$bo$2bo", 7, 1372, 4, 0, 0.0029154518950437317, "orthogonal", 70, 6.438531942605529e-7
"o$bo$o$2o", 5, 158, 2, 0, 0.012658227848101266, "orthogonal", 107464, 0.0009884434238288007
"4bo2$2b2o$bob2o", 6, 574, 2, 0, 0.003484320557491289, "orthogonal", 721, 0.000006631687900883694
"b3o$3bo$3bobo", 6, 1328, 4, 4, 0.0030120481927710845, "diagonal", 1326, 0.0000121964190798499
"o$o2$3o$obo", 7, 580, 4, 0, 0.006896551724137931, "orthogonal", 148, 0.0000013612896107223116
"bo$bobo$b3o$3bo", 7, 114, 2, 2, 0.017543859649122806, "diagonal", 765, 0.000007036395622990327
"b2o$2b2o$2bo$bo", 6, 226, 2, 0, 0.008849557522123894, "orthogonal", 4958, 0.00004560320195919744
"$o$2bo$bobo$2bo$o", 6, 3353, 1, 1, 0.00029824038174768865, "diagonal", 233, 0.0000021431113466101256
"2bo2$3b2o$bo3bo$2bo2bo", 7, 506, 2, 0, 0.003952569169960474, "orthogonal", 44, 4.047077221066332e-7
"4bo$2bobo$b2obo", 6, 81, 1, 1, 0.012345679012345678, "diagonal", 6662, 0.00006127642828805433
"$o$obo$b3o", 6, 95, 1, 1, 0.010526315789473684, "diagonal", 3627, 0.00003336079336547179
"bo7b2o2bo$3b3o7bo", 8, 372, 2, 2, 0.005376344086021506, "diagonal", 3, 2.7593708325452265e-8
"bo2$b2o2$bo$2bo2$2bo", 6, 2170, 6, 0, 0.0027649769585253456, "orthogonal", 1262, 0.000011607753302240252
"bo$bo$2o", 4, 61, 1, 1, 0.01639344262295082, "diagonal", 4127829, 0.03796736981444777
"b2o2$b2o", 4, 12, 2, 0, 0.16666666666666666, "orthogonal", 28667103, 0.2636772262392325
"bo$bo$2o2$bo2$bo", 6, 2704, 4, 0, 0.0014792899408284023, "orthogonal", 313, 0.000002878943568622186
"4bo$2o2bo$2bobo", 6, 124, 4, 0, 0.03225806451612903, "orthogonal", 17602, 0.0001619014846482036
"b4o$4b2o", 6, 412, 4, 0, 0.009708737864077669, "orthogonal", 9063, 0.00008336059285119129
"o2bo$2obo$b2o", 7, 5574, 6, 6, 0.001076426264800861, "diagonal", 163, 0.000001499258152349573
"bo$2b2o$3bo", 4, 28, 2, 2, 0.07142857142857142, "diagonal", 33838471, 0.31124296631775833
"o$b2o$obo$o", 6, 307, 5, 5, 0.016286644951140065, "diagonal", 42027, 0.00038656025993126075
"obo$2o$b2o", 6, 39, 1, 1, 0.02564102564102564, "diagonal", 20029, 0.00018422479468349447
"bo2bo$6bo2$bo3bo$b2o", 7, 155, 1, 1, 0.0064516129032258064, "diagonal", 67, 6.162594859351006e-7
"3bo$2b2o2$bobo$2bo2$2bo", 7, 182, 2, 0, 0.01098901098901099, "orthogonal", 121, 0.0000011129462357932413
"b2o2$3bo$3bo$bobo", 6, 1732, 2, 2, 0.0011547344110854503, "diagonal", 1352, 0.00001243556455200382
"$bo$o$bo$o2bo2$2bo2$bo", 7, 1297, 1, 1, 0.0007710100231303007, "diagonal", 1, 9.197902775150754e-9
"2bobo$b2o", 4, 44, 2, 2, 0.045454545454545456, "diagonal", 19442090, 0.17882645356573074
"2bo$o$3o$2bo", 6, 296, 6, 0, 0.02027027027027027, "orthogonal", 21886, 0.0002013053001369494
"2b3o$bo2$3bo$3bo", 6, 44, 2, 0, 0.045454545454545456, "orthogonal", 15160, 0.00013944020607128545
"2bo$obo$bo3$bo$obo$2bo", 8, 28, 2, 2, 0.07142857142857142, "diagonal", 214, 0.0000019683511938822614
"o5$2o2$2o$o", 6, 5396, 8, 0, 0.0014825796886582653, "orthogonal", 600, 0.000005518741665090453
"b2o2$2o", 4, 48, 2, 2, 0.041666666666666664, "diagonal", 15341546, 0.14111004852850295
"3bobo$obo$o3bo", 6, 330, 2, 0, 0.006060606060606061, "orthogonal", 730, 0.000006714469025860051
"bobo3$bobo$b2o", 6, 39, 1, 1, 0.02564102564102564, "diagonal", 10781, 0.00009916258981890029
"2bobo$b3obo", 6, 430, 4, 0, 0.009302325581395349, "orthogonal", 1179, 0.000010844327371902739
"$b2o$b3o$3bo$obo$2bo", 9, 31, 1, 1, 0.03225806451612903, "diagonal", 26, 2.391454721539196e-7
"3bo$b2o3$2b2o$3bo", 6, 204, 2, 0, 0.00980392156862745, "orthogonal", 3482, 0.00003202709746307493
"o2bo$o$b2o$2o", 7, 318, 2, 2, 0.006289308176100629, "diagonal", 245, 0.0000022534861799119348
"2o3$2o$o4$2o", 7, 284, 4, 0, 0.014084507042253521, "orthogonal", 213, 0.0000019591532911071106
"bobo3$2bo$b3o", 6, 201, 1, 1, 0.004975124378109453, "diagonal", 1111, 0.000010218869983192489
"3bo3bo$b2ob2obo", 7, 4640, 4, 4, 0.0008620689655172414, "diagonal", 12, 1.1037483330180906e-7
"2bo$2bo2$obo$2bo2$bo", 6, 1200, 2, 0, 0.0016666666666666668, "orthogonal", 173, 0.0000015912371801010806
"bo2bo$o$o3bo$3bo", 6, 1200, 4, 0, 0.0033333333333333335, "orthogonal", 1028, 0.000009455444052854976
"$o2bo2bo$4b2obo", 6, 389, 1, 1, 0.002570694087403599, "diagonal", 91, 8.370091525387186e-7
"3bo$o2b4o", 6, 502, 4, 0, 0.00796812749003984, "orthogonal", 3389, 0.00003117169250498591
"o$bo$bobo$obo", 6, 214, 2, 0, 0.009345794392523364, "orthogonal", 3647, 0.0000335447514209748
"obo$bo2bo$2o", 6, 880, 2, 2, 0.0022727272727272726, "diagonal", 1046, 0.00000962100630280769
"bo3$bo$bo2$bo$bo$b2o", 7, 286, 2, 0, 0.006993006993006993, "orthogonal", 63, 5.794678748344976e-7
"bo$o$o$2o3$bo", 6, 1362, 2, 2, 0.0014684287812041115, "diagonal", 623, 0.00000573029342891892
"o$b2o2$ob3o", 7, 1713, 1, 1, 0.0005837711617046118, "diagonal", 6, 5.518741665090453e-8
"bo$3b2o$2bo$2b2o$3bo", 7, 31, 1, 1, 0.03225806451612903, "diagonal", 1330, 0.000012233210690950504
"bo3$bo$2bo4$b2o$2bo$bo", 7, 952, 4, 0, 0.004201680672268907, "orthogonal", 41, 3.771140137811809e-7
"$b2o$b3o2$obo$2bo", 8, 31, 1, 1, 0.03225806451612903, "diagonal", 65, 5.97863680384799e-7
"2o$bo$bo3$bo$bo", 6, 4502, 2, 0, 0.000444247001332741, "orthogonal", 489, 0.000004497774457048719
"$3bobo$bobobo$o$bo", 7, 276, 2, 2, 0.007246376811594203, "diagonal", 203, 0.000001867174263355603
"o$2bo$obo$3o", 7, 343, 3, 3, 0.008746355685131196, "diagonal", 626, 0.000005757887137244372
"bo$2bo2$obo$o2bo", 6, 5780, 4, 0, 0.0006920415224913495, "orthogonal", 384, 0.00000353199466565789
"3o2$4bo$2b2o", 6, 141, 1, 1, 0.0070921985815602835, "diagonal", 1853, 0.000017043713842354347
"o3b2o$5b2o$3bo2bo", 7, 417, 1, 1, 0.002398081534772182, "diagonal", 18, 1.6556224995271358e-7
"obo$o$obo2$o$o", 7, 41, 3, 3, 0.07317073170731707, "diagonal", 4693, 0.00004316575772378249
"bo3bo$2bob2o$5bo", 6, 4726, 4, 4, 0.0008463817181548879, "diagonal", 527, 0.0000048472947625044475
"bobo$b2o$2b2o", 6, 124, 2, 2, 0.016129032258064516, "diagonal", 18266, 0.00016800889209090368
"b2o2$bo$2bo3$b2o", 6, 406, 2, 0, 0.0049261083743842365, "orthogonal", 1863, 0.000017135692870105854
"b2o$2b2o$2bo", 5, 149, 3, 3, 0.020134228187919462, "diagonal", 733341, 0.0067451992190318295
"b2o2$b2o$2bo", 5, 978, 2, 0, 0.002044989775051125, "orthogonal", 23488, 0.00021604034038274093
"3b2o$bobo$2o", 6, 557, 1, 1, 0.0017953321364452424, "diagonal", 361, 0.0000033204429018294224
"4bo2$b3obo$o2bo", 7, 866, 2, 0, 0.0023094688221709007, "orthogonal", 20, 1.839580555030151e-7
"bo3bo$b2o2$b2o2bo", 7, 618, 2, 2, 0.003236245954692557, "diagonal", 26, 2.391454721539196e-7
"2b2o$4bo$2bo$2o$b2o", 8, 188, 4, 0, 0.02127659574468085, "orthogonal", 19, 1.7476015272786434e-7
"bo$2o$b2o2$o2$2bo", 7, 178, 2, 0, 0.011235955056179775, "orthogonal", 95, 8.738007636393216e-7
"b2obo$bo$b2o", 6, 242, 2, 0, 0.008264462809917356, "orthogonal", 4009, 0.000036874392225579374
"6bo2$4bo$bobo$2bo3bo$bo$o", 8, 133, 1, 1, 0.007518796992481203, "diagonal", 2, 1.839580555030151e-8
"2bob2o$b2obo$bo", 7, 4336, 8, 0, 0.0018450184501845018, "orthogonal", 46, 4.231035276569347e-7
"bo3$bo$b2o$bo2$2bo$bo", 7, 166, 2, 0, 0.012048192771084338, "orthogonal", 100, 9.197902775150755e-7
"$2o2$bobo$o2bo", 6, 6183, 5, 5, 0.0008086689309396733, "diagonal", 1319, 0.000012132033760423846
"obo$obo$b2o", 6, 11, 1, 1, 0.09090909090909091, "diagonal", 89371, 0.0008220257689179981
"4bo$3bo$bob2o$2bo$bo", 7, 1138, 4, 4, 0.0035149384885764497, "diagonal", 60, 5.518741665090453e-7
"3bo$bobo$bobo2$3bo$2bo", 7, 334, 2, 0, 0.005988023952095809, "orthogonal", 41, 3.771140137811809e-7
"obobo$4bo$b3o", 7, 7190, 2, 0, 0.0002781641168289291, "orthogonal", 22, 2.023538610533166e-7
"2b3o$2bobo2$4bo$bo", 7, 334, 2, 0, 0.005988023952095809, "orthogonal", 93, 8.554049580890202e-7
"o$o$bo$bo2$bo$o", 6, 4556, 2, 0, 0.0004389815627743635, "orthogonal", 103, 9.473839858405277e-7
"$4bo$b3obo$o", 6, 94, 2, 2, 0.02127659574468085, "diagonal", 8869, 0.00008157619971281204
"bo6$bo2$b2o2$bo$2bo2$2bo", 7, 2650, 6, 0, 0.0022641509433962265, "orthogonal", 1, 9.197902775150754e-9
"5bobo$obo$3b2o$2bo2bo", 8, 320, 2, 0, 0.00625, "orthogonal", 2, 1.839580555030151e-8
"bo$2bo$b3o2$bo$bo", 7, 4342, 2, 0, 0.00046061722708429296, "orthogonal", 4, 3.679161110060302e-8
"o$o$o$b2o2$bo2$bo", 7, 1034, 2, 0, 0.0019342359767891683, "orthogonal", 15, 1.3796854162726131e-7
"b2o3$2o$b2o3$bo", 7, 1586, 2, 0, 0.0012610340479192938, "orthogonal", 4, 3.679161110060302e-8
"o3bo$obo$6bo$4bobo$4bo", 8, 40, 2, 2, 0.05, "diagonal", 73, 6.714469025860051e-7
"3o2$bo$bo2$bo$bo", 7, 1650, 2, 0, 0.0012121212121212121, "orthogonal", 44, 4.047077221066332e-7
"o$bo$bo$bo3$bo3$bo", 6, 3514, 2, 0, 0.0005691519635742744, "orthogonal", 36, 3.3112449990542716e-7
"$obo$2bo$o2bo3$2b2o", 7, 1259, 1, 1, 0.0007942811755361397, "diagonal", 9, 8.278112497635679e-8
"2bo$b2o$2bo4$bo$bo$2b2o", 8, 4755, 1, 1, 0.0002103049421661409, "diagonal", 1, 9.197902775150754e-9
"bo$bo$b2o3$2bo$2b2o", 7, 1054, 2, 0, 0.0018975332068311196, "orthogonal", 2, 1.839580555030151e-8
"b3o$o3b2o2$bo$2bo", 8, 9046, 2, 0, 0.00022109219544550078, "orthogonal", 2, 1.839580555030151e-8
"b2o2$b2o2$b2o$2bo", 7, 1790, 2, 0, 0.0011173184357541898, "orthogonal", 6, 5.518741665090453e-8
"bo$2bo2$bo$bo$2bo$3bo$2bo", 7, 8882, 2, 0, 0.00022517451024544022, "orthogonal", 8, 7.358322220120604e-8
"bo3bo$bo$bo$3bo$bobo", 7, 734, 2, 2, 0.0027247956403269754, "diagonal", 18, 1.6556224995271358e-7
"6bo$5bo$5bo$6bo$6bo$bo3$3bo", 7, 245, 1, 1, 0.004081632653061225, "diagonal", 6, 5.518741665090453e-8
"bobo2$3bo$bo$bobo3$b2o", 8, 338, 2, 0, 0.005917159763313609, "orthogonal", 1, 9.197902775150754e-9
"bo$5bo2$bo$2bob2o$bobo", 8, 1368, 2, 2, 0.0014619883040935672, "diagonal", 1, 9.197902775150754e-9
"$bo$b2o$2bo$2b2o$3bo", 7, 365, 1, 1, 0.0027397260273972603, "diagonal", 18, 1.6556224995271358e-7
"bo3$bo$2bo$2bo2$bo$2bo2$b2o", 8, 628, 4, 0, 0.006369426751592357, "orthogonal", 2, 1.839580555030151e-8
"o2$2bo$bo$o$o$o2$bo$2bo", 8, 2144, 2, 0, 0.0009328358208955224, "orthogonal", 2, 1.839580555030151e-8
"o3$bo$3bo$2bobo$3bo$bo", 7, 4738, 4, 4, 0.0008442380751371887, "diagonal", 3, 2.7593708325452265e-8
"b2obo2bo$3bo2bobo$4bo", 8, 506, 2, 0, 0.003952569169960474, "orthogonal", 1, 9.197902775150754e-9
"2bo$4bo$3bo2bo$7bo$5bo$b2o", 8, 237, 1, 1, 0.004219409282700422, "diagonal", 1, 9.197902775150754e-9
"3b2obo$3bo$6bo$bo$2b2o", 8, 386, 2, 2, 0.0051813471502590676, "diagonal", 4, 3.679161110060302e-8
"4bobo$7bo2$b2ob2o", 7, 1416, 4, 0, 0.002824858757062147, "orthogonal", 13, 1.195727360769598e-7
"bo5b2o$o2bo3bo2bo$2bo", 8, 204, 2, 0, 0.00980392156862745, "orthogonal", 1, 9.197902775150754e-9
"2o$2bo$bo$2bo$2bo3$2o", 8, 684, 4, 0, 0.005847953216374269, "orthogonal", 1, 9.197902775150754e-9
"$bo$2b2o2$2bo$bo$b2o", 7, 1597, 3, 3, 0.001878522229179712, "diagonal", 10, 9.197902775150755e-8
"bo4$b2o2$bo$b2o2$2bo", 7, 2122, 2, 0, 0.000942507068803016, "orthogonal", 18, 1.6556224995271358e-7
"2bo$2b2o2$b2o$2bo2$bo", 7, 1678, 2, 0, 0.0011918951132300357, "orthogonal", 5, 4.5989513875753774e-8
"obo3$b2o$b2o$bo2$o", 8, 1736, 8, 0, 0.004608294930875576, "orthogonal", 3, 2.7593708325452265e-8
"4bo3bo$o$2bob2o2bo$8bo", 8, 1232, 2, 0, 0.0016233766233766235, "orthogonal", 1, 9.197902775150754e-9
"2bo2$bo$bo$b2o$bo5$2bo", 7, 1648, 4, 0, 0.0024271844660194173, "orthogonal", 22, 2.023538610533166e-7
"o3$o2$bo$2o$o3$o", 7, 2730, 2, 0, 0.0007326007326007326, "orthogonal", 3, 2.7593708325452265e-8
"bo$obo$bobo$2bo$bo", 7, 1220, 4, 0, 0.003278688524590164, "orthogonal", 12, 1.1037483330180906e-7
"o$o$o$o2$o$o3$o", 7, 2046, 2, 0, 0.0009775171065493646, "orthogonal", 8, 7.358322220120604e-8
"b2o$obo$2bo3$b2o$2bo", 8, 1784, 8, 0, 0.004484304932735426, "orthogonal", 4, 3.679161110060302e-8
"bo$3bo4$bo$b3o$bo", 7, 1638, 2, 0, 0.001221001221001221, "orthogonal", 14, 1.2877063885211056e-7
"bo3bo$2bo3bo2$4bobo$3bo2bo", 8, 50, 2, 0, 0.04, "orthogonal", 20, 1.839580555030151e-7
"4bo$3bo$2b2o$bo2bo2$3bo", 7, 542, 2, 0, 0.0036900369003690036, "orthogonal", 13, 1.195727360769598e-7
"b2o3b3o2$2bo$2bo$3bo", 8, 220, 2, 0, 0.00909090909090909, "orthogonal", 2, 1.839580555030151e-8
"o4b2obo$o4bo3bo", 7, 3206, 2, 0, 0.0006238303181534623, "orthogonal", 1, 9.197902775150754e-9
"o$bo$2bo$bo2$bo$obo", 7, 2218, 2, 0, 0.0009017132551848512, "orthogonal", 7, 6.438531942605528e-8
"b3o$2bo$2bo$3bo$3b2o", 8, 614, 4, 0, 0.006514657980456026, "orthogonal", 2, 1.839580555030151e-8
"4bo2$5bo$b3o$2o", 7, 6216, 2, 2, 0.00032175032175032174, "diagonal", 8, 7.358322220120604e-8
"obo$3bo$4bo2$o$bo$obo", 8, 400, 2, 2, 0.005, "diagonal", 5, 4.5989513875753774e-8
"bo$o$o$o3$bo$o$o", 7, 2486, 2, 0, 0.0008045052292839903, "orthogonal", 4, 3.679161110060302e-8
"3bo$o$bo$bo$3bo$2bo$2bo$3bo", 8, 193, 1, 1, 0.0051813471502590676, "diagonal", 2, 1.839580555030151e-8
"6bo$bo2bobo$o4bo$o4bo", 8, 1702, 6, 0, 0.0035252643948296123, "orthogonal", 1, 9.197902775150754e-9
"bo3bo$2bo2bo$b2o2b2o", 8, 110, 2, 0, 0.01818181818181818, "orthogonal", 18, 1.6556224995271358e-7
"bo$bo2$bo$bo$bo3$bo$o", 7, 2138, 2, 0, 0.0009354536950420954, "orthogonal", 2, 1.839580555030151e-8
"bo$2bo2$bo$2bo3$2bo$bo$2bo$bo", 8, 780, 4, 0, 0.005128205128205128, "orthogonal", 2, 1.839580555030151e-8
"b2o$bo$2bo2bo$3bo$4b2o", 8, 1443, 3, 3, 0.002079002079002079, "diagonal", 1, 9.197902775150754e-9
"2bo$bo$b2o3$2bo$2bo2$bo", 7, 2710, 2, 0, 0.0007380073800738007, "orthogonal", 6, 5.518741665090453e-8
"2bo2bo$bo2bo2bob2o", 7, 2490, 2, 0, 0.0008032128514056225, "orthogonal", 2, 1.839580555030151e-8
"3bobo$3bo$3b2o$b3o$bo", 9, 47, 1, 1, 0.02127659574468085, "diagonal", 1, 9.197902775150754e-9
"bo$2bo$2bo$2bo$o$2o", 7, 3154, 2, 0, 0.0006341154090044388, "orthogonal", 6, 5.518741665090453e-8
"$b3o2$3bobo$5bo$bo3bo", 8, 412, 2, 2, 0.0048543689320388345, "diagonal", 1, 9.197902775150754e-9
"5b3o2$2bo4bo$7bo$bo2bo", 8, 1708, 4, 0, 0.00234192037470726, "orthogonal", 1, 9.197902775150754e-9
"bobo$2bo$4bo$bo3bo$b2o", 8, 1970, 6, 0, 0.003045685279187817, "orthogonal", 1, 9.197902775150754e-9
"$bo$bo$bo2$2bo3$2bo$obo3$2bo", 8, 368, 2, 2, 0.005434782608695652, "diagonal", 2, 1.839580555030151e-8
"2bo2$2obo$bo$o$o", 7, 3018, 2, 0, 0.0006626905235255136, "orthogonal", 9, 8.278112497635679e-8
"$8bobo$o2bo3bo$o4bo4bo", 8, 372, 2, 2, 0.005376344086021506, "diagonal", 2, 1.839580555030151e-8
"3bo$2bo$4bo$bo$2bo$2b2o$bo", 8, 524, 4, 0, 0.007633587786259542, "orthogonal", 5, 4.5989513875753774e-8
"bobo$3bo$2bo2$2bo$2b2o$bo", 8, 562, 2, 0, 0.0035587188612099642, "orthogonal", 1, 9.197902775150754e-9
"3bo$b2ob2o$bo$3bo2$3bo", 8, 674, 2, 0, 0.002967359050445104, "orthogonal", 4, 3.679161110060302e-8
"bo2bo$2b3o$3bobo2$b2o", 9, 46, 2, 0, 0.043478260869565216, "orthogonal", 4, 3.679161110060302e-8
"2bobobo$3bo$b3o$7bo", 8, 1924, 8, 8, 0.004158004158004158, "diagonal", 2, 1.839580555030151e-8
"2bo2$o$2bo$o$2bo$2bo$o", 7, 4894, 2, 0, 0.0004086636697997548, "orthogonal", 6, 5.518741665090453e-8
"bo2bo$bo$bo3bo$bobo$bo", 8, 2341, 3, 3, 0.0012815036309269544, "diagonal", 1, 9.197902775150754e-9
"$2bo$2o$bo$b3o$bo", 8, 4023, 1, 1, 0.00024857071836937607, "diagonal", 1, 9.197902775150754e-9
"2bob2o$4b2o$bo4bo$obo", 9, 50, 2, 2, 0.04, "diagonal", 4, 3.679161110060302e-8
"2bo2$bo$bo$2bo$3bo2$bobo$bo", 8, 1612, 4, 0, 0.0024813895781637717, "orthogonal", 1, 9.197902775150754e-9
"o3bobo$6bo2bo$bo2b3o", 9, 464, 4, 0, 0.008620689655172414, "orthogonal", 1, 9.197902775150754e-9
"2bo2b2o$bo3bo$bo$3bo$5bo", 8, 6510, 2, 0, 0.00030721966205837174, "orthogonal", 1, 9.197902775150754e-9
"2b2o$2bo$3bo$b2o3$3bo$2bo", 8, 1288, 4, 0, 0.003105590062111801, "orthogonal", 1, 9.197902775150754e-9
"$6bo$3b2o2bo$2bo$bo$3b2o", 8, 285, 1, 1, 0.0035087719298245615, "diagonal", 1, 9.197902775150754e-9
"bo3bo$bo3bo$b2o$3bobo", 8, 165, 1, 1, 0.006060606060606061, "diagonal", 2, 1.839580555030151e-8
"bo$2bo2$2o$2bo$bo$2b2o", 8, 2190, 2, 0, 0.0009132420091324201, "orthogonal", 1, 9.197902775150754e-9
"2bo4b2o$bo5bo$bo$o7bo", 8, 204, 2, 0, 0.00980392156862745, "orthogonal", 1, 9.197902775150754e-9
"o3bo2$b2o$3b2o$3bo$3bo", 8, 270, 2, 2, 0.007407407407407408, "diagonal", 1, 9.197902775150754e-9
"b2o$2bo3$b2o2$bo$b2o2$2bo", 9, 272, 4, 0, 0.014705882352941176, "orthogonal", 1, 9.197902775150754e-9
"bo2b2o$2bobo$2bo$4bo$3bo", 8, 4130, 2, 0, 0.00048426150121065375, "orthogonal", 1, 9.197902775150754e-9
"$ob2obo2$5bobo$5b2o", 8, 1854, 4, 4, 0.002157497303128371, "diagonal", 1, 9.197902775150754e-9
"bo2bo2$2b2o$4bo$b2obo", 8, 3234, 2, 0, 0.0006184291898577613, "orthogonal", 1, 9.197902775150754e-9
"bo$bo$2bo4$2bo$2bo2$2bo$b2o", 8, 1740, 4, 0, 0.0022988505747126436, "orthogonal", 1, 9.197902775150754e-9
"o2$bo2$obo$2o$3bo$bo$o", 9, 354, 2, 0, 0.005649717514124294, "orthogonal", 1, 9.197902775150754e-9
"2bo$5bo$o2b2o$bo$2o", 8, 410, 2, 2, 0.004878048780487805, "diagonal", 2, 1.839580555030151e-8
"2bo$4bo$5bo2$2bo2bo$2bob2o$bo", 9, 808, 4, 0, 0.0049504950495049506, "orthogonal", 1, 9.197902775150754e-9
"obo2bo$o3b2o$5bo$3bo", 8, 1586, 2, 0, 0.0012610340479192938, "orthogonal", 1, 9.197902775150754e-9
"2bo2$2bo2$bo$2bo$b2o$2bo", 7, 4912, 4, 0, 0.0008143322475570033, "orthogonal", 1, 9.197902775150754e-9
